FID,the_geom,ID_order,ID,today,deviceid,simserial,coordinate,Y_coordina,X_coordina,_coordinat,_coordin_1,tree_speci,other,tree_healt,threat,threat_ele,threat_roa,threat_bui,threat_wat,threat_peo,other_thre,other_001,tree_site,tree_base,_submissio,_index,functional,function_1,function_2,other_002,distance_c,angle_bott,angle_top,circumfere,diameter,comment_st,stem_tree_,_id,small_big
dar_es_salaam_trees.44,POINT (39.26395667 -6.77463),44,143,3/13/2020,3.53E+19,"8,93E+18",-6.77463 39.263956666666665 14.9 4.0,-6.77463,39.26395667,14.9,4,acacia,,healthy,electricity/wires building/structures,1,0,1,0,0,,,public,Open soil,2020-03-13T10:22:48,56,,,,,,,,,,,,,small
dar_es_salaam_trees.45,POINT (39.261035 -6.773575),45,144,3/11/2020,3.59E+19,"8,93E+18",-6.773574999999999 39.261035 45.4 4.9,-6.773575,39.261035,45.4,4.9,ashok,,healthy,electricity/wires building/structures,1,0,1,0,0,,,public,adjacent to a hard surface,2020-03-11T10:45:57,28,,,,,,,,,,,,,small
dar_es_salaam_trees.46,POINT (39.26102833 -6.773766667),46,145,3/11/2020,3.53E+19,"8,93E+18",-6.773766666666667 39.261028333333336 17.7 5.0,-6.77376667,39.26102833,17.7,5,ashok,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,adjacent to a hard surface,2020-03-11T11:10:55,33,,,,,,,,,,,,,small
dar_es_salaam_trees.47,POINT (39.26098833 -6.773551667),47,146,3/11/2020,3.53E+19,"8,93E+18",-6.773551666666666 39.26098833333333 17.8 5.0,-6.77355167,39.26098833,17.8,5,ashok,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,adjacent to a hard surface,2020-03-11T11:11:18,34,,,,,,,,,,,,,small
dar_es_salaam_trees.48,POINT (39.26100333 -6.77383),48,147,3/11/2020,3.53E+19,"8,93E+18",-6.77383 39.26100333333333 15.7 4.7,-6.77383,39.26100333,15.7,4.7,ashok,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,adjacent to a hard surface,2020-03-11T11:11:28,35,,,,,,,,,,,,,small
dar_es_salaam_trees.49,POINT (39.25854 -6.77573),49,148,3/11/2020,3.58E+19,"8,93E+18",-6.77573 39.25854 -20.5 3.8,-6.77573,39.25854,-20.5,3.8,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:08,7,,,,,,,,,,,,,small
dar_es_salaam_trees.50,POINT (39.25842833 -6.775688333),50,149,3/11/2020,3.58E+19,"8,93E+18",-6.775688333333333 39.258428333333335 -18.7 4.1,-6.77568833,39.25842833,-18.7,4.1,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:12,8,,,,,,,,,,,,,small
dar_es_salaam_trees.51,POINT (39.25849667 -6.775568333),51,150,3/11/2020,3.58E+19,"8,93E+18",-6.775568333333332 39.258496666666666 -18.4 3.2,-6.77556833,39.25849667,-18.4,3.2,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:17,9,,,,,,,,,,,,,small
dar_es_salaam_trees.52,POINT (39.25861667 -6.775683333),52,151,3/11/2020,3.58E+19,"8,93E+18",-6.775683333333334 39.25861666666666 -17.3 4.6,-6.77568333,39.25861667,-17.3,4.6,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:21,10,,,,,,,,,,,,,small
dar_es_salaam_trees.53,POINT (39.25846333 -6.77562),53,152,3/11/2020,3.58E+19,"8,93E+18",-6.77562 39.25846333333333 -15.6 4.2,-6.77562,39.25846333,-15.6,4.2,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:25,11,,,,,,,,,,,,,small
